"YEAR_SEMESTER","EDAD_MOD","NIVEL","SEDE_NOMBRE_MAT","n"
"2011 - 1",35,"Doctorado","Bogotá",1
"2011 - 1",35,"Doctorado","Medellín",1
"2011 - 1",35,"Especialidades Médicas","Bogotá",3
"2011 - 1",35,"Especialización","Bogotá",16
"2011 - 1",35,"Especialización","Manizales",4
"2011 - 1",35,"Especialización","Medellín",3
"2011 - 1",35,"Maestría","Bogotá",9
"2011 - 1",35,"Maestría","Medellín",1
"2011 - 1",35,"Maestría","Palmira",1
"2011 - 1",35,"Pregrado","Bogotá",6
"2011 - 1",35,"Pregrado","Medellín",2
"2011 - 1",36,"Doctorado","Bogotá",1
"2011 - 1",36,"Especialidades Médicas","Bogotá",2
"2011 - 1",36,"Especialización","Bogotá",11
"2011 - 1",36,"Especialización","Manizales",4
"2011 - 1",36,"Especialización","Medellín",2
"2011 - 1",36,"Maestría","Bogotá",11
"2011 - 1",36,"Maestría","Caribe",1
"2011 - 1",36,"Maestría","Medellín",3
"2011 - 1",36,"Pregrado","Bogotá",7
"2011 - 1",36,"Pregrado","Manizales",1
"2011 - 1",36,"Pregrado","Medellín",2
"2011 - 1",37,"Doctorado","Bogotá",1
"2011 - 1",37,"Especialidades Médicas","Bogotá",1
"2011 - 1",37,"Especialización","Bogotá",7
"2011 - 1",37,"Especialización","Manizales",1
"2011 - 1",37,"Especialización","Medellín",1
"2011 - 1",37,"Maestría","Bogotá",13
"2011 - 1",37,"Maestría","Caribe",1
"2011 - 1",37,"Maestría","Medellín",1
"2011 - 1",37,"Pregrado","Bogotá",5
"2011 - 1",37,"Pregrado","Manizales",1
"2011 - 1",37,"Pregrado","Medellín",2
"2011 - 1",37,"Pregrado","Palmira",1
"2011 - 1",38,"Especialidades Médicas","Bogotá",2
"2011 - 1",38,"Especialización","Amazonía",1
"2011 - 1",38,"Especialización","Bogotá",6
"2011 - 1",38,"Especialización","Manizales",1
"2011 - 1",38,"Especialización","Medellín",2
"2011 - 1",38,"Maestría","Amazonía",1
"2011 - 1",38,"Maestría","Bogotá",8
"2011 - 1",38,"Maestría","Manizales",1
"2011 - 1",38,"Maestría","Medellín",2
"2011 - 1",38,"Maestría","Palmira",1
"2011 - 1",38,"Pregrado","Bogotá",2
"2011 - 1",38,"Pregrado","Manizales",1
"2011 - 1",38,"Pregrado","Medellín",4
"2011 - 1",39,"Doctorado","Bogotá",1
"2011 - 1",39,"Doctorado","Palmira",1
"2011 - 1",39,"Especialidades Médicas","Bogotá",1
"2011 - 1",39,"Especialización","Bogotá",3
"2011 - 1",39,"Especialización","Manizales",1
"2011 - 1",39,"Especialización","Medellín",2
"2011 - 1",39,"Maestría","Bogotá",11
"2011 - 1",39,"Maestría","Medellín",1
"2011 - 1",39,"Pregrado","Bogotá",6
"2011 - 1",39,"Pregrado","Manizales",1
"2011 - 1",39,"Pregrado","Medellín",4
"2011 - 1",40,"Doctorado","Bogotá",1
"2011 - 1",40,"Doctorado","Manizales",1
"2011 - 1",40,"Especialización","Amazonía",1
"2011 - 1",40,"Especialización","Bogotá",4
"2011 - 1",40,"Maestría","Bogotá",13
"2011 - 1",40,"Maestría","Medellín",1
"2011 - 1",40,"Pregrado","Bogotá",20
"2011 - 1",41,"Doctorado","Bogotá",1
"2011 - 1",41,"Doctorado","Manizales",1
"2011 - 1",41,"Doctorado","Palmira",1
"2011 - 1",41,"Especialización","Bogotá",8
"2011 - 1",41,"Maestría","Bogotá",10
"2011 - 1",41,"Maestría","Caribe",2
"2011 - 1",41,"Maestría","Manizales",1
"2011 - 1",41,"Maestría","Medellín",1
"2011 - 1",41,"Pregrado","Bogotá",2
"2011 - 1",41,"Pregrado","Medellín",1
"2011 - 1",41,"Pregrado","Palmira",2
"2011 - 1",42,"Doctorado","Bogotá",2
"2011 - 1",42,"Doctorado","Medellín",1
"2011 - 1",42,"Especialidades Médicas","Bogotá",3
"2011 - 1",42,"Especialización","Bogotá",10
"2011 - 1",42,"Maestría","Amazonía",1
"2011 - 1",42,"Maestría","Bogotá",2
"2011 - 1",42,"Maestría","Medellín",1
"2011 - 1",42,"Maestría","Palmira",1
"2011 - 1",42,"Pregrado","Bogotá",1
"2011 - 1",43,"Doctorado","Medellín",1
"2011 - 1",43,"Especialización","Bogotá",10
"2011 - 1",43,"Especialización","Manizales",1
"2011 - 1",43,"Maestría","Bogotá",7
"2011 - 1",43,"Maestría","Medellín",1
"2011 - 1",43,"Maestría","Palmira",1
"2011 - 1",43,"Pregrado","Bogotá",7
"2011 - 1",44,"Doctorado","Bogotá",1
"2011 - 1",44,"Especialidades Médicas","Bogotá",1
"2011 - 1",44,"Especialización","Bogotá",7
"2011 - 1",44,"Especialización","Medellín",1
"2011 - 1",44,"Maestría","Amazonía",1
"2011 - 1",44,"Maestría","Bogotá",4
"2011 - 1",44,"Maestría","Medellín",1
"2011 - 1",45,"Doctorado","Medellín",1
"2011 - 1",45,"Especialización","Bogotá",7
"2011 - 1",45,"Especialización","Manizales",1
"2011 - 1",45,"Especialización","Medellín",2
"2011 - 1",45,"Maestría","Bogotá",4
"2011 - 1",45,"Maestría","Manizales",1
"2011 - 1",45,"Maestría","Medellín",1
"2011 - 1",46,"Doctorado","Bogotá",1
"2011 - 1",46,"Especialización","Bogotá",7
"2011 - 1",46,"Especialización","Manizales",1
"2011 - 1",46,"Maestría","Bogotá",2
"2011 - 1",46,"Pregrado","Bogotá",1
"2011 - 1",47,"Especialización","Bogotá",9
"2011 - 1",47,"Maestría","Bogotá",4
"2011 - 1",47,"Maestría","Medellín",1
"2011 - 1",47,"Pregrado","Bogotá",1
"2011 - 1",48,"Doctorado","Bogotá",2
"2011 - 1",48,"Doctorado","Manizales",1
"2011 - 1",48,"Especialidades Médicas","Bogotá",1
"2011 - 1",48,"Especialización","Bogotá",4
"2011 - 1",48,"Especialización","Manizales",1
"2011 - 1",48,"Maestría","Bogotá",4
"2011 - 1",48,"Maestría","Manizales",1
"2011 - 1",48,"Maestría","Medellín",1
"2011 - 1",48,"Pregrado","Bogotá",1
"2011 - 1",48,"Pregrado","Medellín",1
"2011 - 1",49,"Doctorado","Palmira",1
"2011 - 1",49,"Especialización","Bogotá",6
"2011 - 1",49,"Especialización","Manizales",2
"2011 - 1",49,"Maestría","Bogotá",4
"2011 - 1",50,"Doctorado","Bogotá",1
"2011 - 1",50,"Doctorado","Palmira",1
"2011 - 1",50,"Especialización","Bogotá",4
"2011 - 1",50,"Especialización","Medellín",3
"2011 - 1",50,"Maestría","Bogotá",2
"2011 - 1",50,"Pregrado","Medellín",1
"2011 - 1",51,"Especialización","Bogotá",4
"2011 - 1",51,"Maestría","Bogotá",2
"2011 - 1",51,"Pregrado","Bogotá",1
"2011 - 1",51,"Pregrado","Medellín",1
"2011 - 1",52,"Doctorado","Bogotá",1
"2011 - 1",52,"Maestría","Bogotá",2
"2011 - 1",53,"Doctorado","Palmira",1
"2011 - 1",53,"Especialización","Bogotá",2
"2011 - 1",53,"Maestría","Bogotá",3
"2011 - 1",53,"Pregrado","Bogotá",1
"2011 - 1",54,"Doctorado","Bogotá",1
"2011 - 1",54,"Doctorado","Medellín",2
"2011 - 1",54,"Especialización","Bogotá",3
"2011 - 1",54,"Maestría","Bogotá",3
"2011 - 1",55,"Doctorado","Bogotá",1
"2011 - 1",55,"Especialización","Bogotá",3
"2011 - 1",55,"Maestría","Amazonía",1
"2011 - 1",55,"Maestría","Bogotá",2
"2011 - 1",56,"Doctorado","Bogotá",1
"2011 - 1",56,"Especialización","Bogotá",1
"2011 - 1",56,"Maestría","Bogotá",1
"2011 - 1",57,"Doctorado","Palmira",1
"2011 - 1",58,"Especialización","Bogotá",2
"2011 - 1",58,"Maestría","Bogotá",1
"2011 - 1",60,"Doctorado","Palmira",1
"2011 - 1",60,"Especialización","Bogotá",1
"2011 - 1",61,"Especialización","Bogotá",1
"2011 - 1",61,"Maestría","Bogotá",1
"2011 - 1",62,"Especialización","Bogotá",1
"2011 - 1",62,"Maestría","Caribe",1
"2011 - 1",64,"Especialización","Medellín",1
"2011 - 2",20,"Pregrado","Bogotá",11
"2011 - 2",20,"Pregrado","Manizales",2
"2011 - 2",21,"Especialización","Bogotá",1
"2011 - 2",21,"Especialización","Manizales",3
"2011 - 2",21,"Pregrado","Bogotá",58
"2011 - 2",21,"Pregrado","Manizales",25
"2011 - 2",21,"Pregrado","Medellín",3
"2011 - 2",21,"Pregrado","Palmira",2
"2011 - 2",22,"Especialización","Bogotá",8
"2011 - 2",22,"Especialización","Manizales",5
"2011 - 2",22,"Especialización","Medellín",3
"2011 - 2",22,"Maestría","Bogotá",1
"2011 - 2",22,"Pregrado","Bogotá",231
"2011 - 2",22,"Pregrado","Manizales",88
"2011 - 2",22,"Pregrado","Medellín",35
"2011 - 2",22,"Pregrado","Palmira",9
"2011 - 2",23,"Especialización","Bogotá",20
"2011 - 2",23,"Especialización","Manizales",9
"2011 - 2",23,"Especialización","Medellín",2
"2011 - 2",23,"Maestría","Bogotá",6
"2011 - 2",23,"Maestría","Medellín",1
"2011 - 2",23,"Pregrado","Bogotá",304
"2011 - 2",23,"Pregrado","Manizales",67
"2011 - 2",23,"Pregrado","Medellín",40
"2011 - 2",23,"Pregrado","Palmira",21
"2011 - 2",24,"Especialización","Bogotá",24
"2011 - 2",24,"Especialización","Manizales",7
"2011 - 2",24,"Maestría","Bogotá",13
"2011 - 2",24,"Maestría","Manizales",6
"2011 - 2",24,"Maestría","Medellín",7
"2011 - 2",24,"Pregrado","Bogotá",226
"2011 - 2",24,"Pregrado","Manizales",36
"2011 - 2",24,"Pregrado","Medellín",27
"2011 - 2",24,"Pregrado","Palmira",17
"2011 - 2",25,"Especialización","Bogotá",30
"2011 - 2",25,"Especialización","Manizales",5
"2011 - 2",25,"Especialización","Medellín",3
"2011 - 2",25,"Maestría","Bogotá",29
"2011 - 2",25,"Maestría","Manizales",5
"2011 - 2",25,"Maestría","Medellín",13
"2011 - 2",25,"Maestría","Palmira",2
"2011 - 2",25,"Pregrado","Bogotá",152
"2011 - 2",25,"Pregrado","Manizales",19
"2011 - 2",25,"Pregrado","Medellín",17
"2011 - 2",25,"Pregrado","Palmira",10
"2011 - 2",26,"Especialización","Bogotá",36
"2011 - 2",26,"Especialización","Manizales",8
"2011 - 2",26,"Maestría","Amazonía",1
"2011 - 2",26,"Maestría","Bogotá",30
"2011 - 2",26,"Maestría","Manizales",3
"2011 - 2",26,"Maestría","Medellín",10
"2011 - 2",26,"Maestría","Palmira",2
"2011 - 2",26,"Pregrado","Bogotá",116
"2011 - 2",26,"Pregrado","Manizales",19
"2011 - 2",26,"Pregrado","Medellín",21
"2011 - 2",26,"Pregrado","Palmira",3
"2011 - 2",27,"Doctorado","Bogotá",1
"2011 - 2",27,"Doctorado","Manizales",1
"2011 - 2",27,"Especialización","Bogotá",14
"2011 - 2",27,"Especialización","Manizales",9
"2011 - 2",27,"Especialización","Medellín",6
"2011 - 2",27,"Maestría","Bogotá",35
"2011 - 2",27,"Maestría","Manizales",5
"2011 - 2",27,"Maestría","Medellín",12
"2011 - 2",27,"Maestría","Palmira",1
"2011 - 2",27,"Pregrado","Bogotá",88
"2011 - 2",27,"Pregrado","Manizales",19
"2011 - 2",27,"Pregrado","Medellín",9
"2011 - 2",27,"Pregrado","Palmira",2
"2011 - 2",28,"Especialización","Bogotá",22
"2011 - 2",28,"Especialización","Manizales",2
"2011 - 2",28,"Especialización","Medellín",3
"2011 - 2",28,"Maestría","Amazonía",1
"2011 - 2",28,"Maestría","Bogotá",42
"2011 - 2",28,"Maestría","Manizales",5
"2011 - 2",28,"Maestría","Medellín",10
"2011 - 2",28,"Maestría","Palmira",1
"2011 - 2",28,"Pregrado","Bogotá",53
"2011 - 2",28,"Pregrado","Manizales",17
"2011 - 2",28,"Pregrado","Medellín",12
"2011 - 2",28,"Pregrado","Palmira",2
"2011 - 2",29,"Doctorado","Manizales",1
"2011 - 2",29,"Especialización","Amazonía",1
"2011 - 2",29,"Especialización","Bogotá",22
"2011 - 2",29,"Especialización","Manizales",4
"2011 - 2",29,"Especialización","Medellín",5
"2011 - 2",29,"Maestría","Bogotá",36
"2011 - 2",29,"Maestría","Manizales",7
"2011 - 2",29,"Maestría","Medellín",10
"2011 - 2",29,"Maestría","Palmira",1
"2011 - 2",29,"Pregrado","Bogotá",51
"2011 - 2",29,"Pregrado","Manizales",9
"2011 - 2",29,"Pregrado","Medellín",6
"2011 - 2",30,"Doctorado","Medellín",2
"2011 - 2",30,"Especialidades Médicas","Bogotá",1
"2011 - 2",30,"Especialización","Bogotá",17
"2011 - 2",30,"Especialización","Manizales",5
"2011 - 2",30,"Especialización","Medellín",3
"2011 - 2",30,"Maestría","Bogotá",38
"2011 - 2",30,"Maestría","Caribe",1
"2011 - 2",30,"Maestría","Manizales",3
"2011 - 2",30,"Maestría","Medellín",12
"2011 - 2",30,"Maestría","Palmira",1
"2011 - 2",30,"Pregrado","Bogotá",34
"2011 - 2",30,"Pregrado","Manizales",12
"2011 - 2",30,"Pregrado","Medellín",6
"2011 - 2",30,"Pregrado","Palmira",1
"2011 - 2",31,"Doctorado","Bogotá",2
"2011 - 2",31,"Doctorado","Medellín",1
"2011 - 2",31,"Especialidades Médicas","Bogotá",1
"2011 - 2",31,"Especialización","Amazonía",1
"2011 - 2",31,"Especialización","Bogotá",26
"2011 - 2",31,"Especialización","Manizales",3
"2011 - 2",31,"Especialización","Medellín",3
"2011 - 2",31,"Maestría","Bogotá",38
"2011 - 2",31,"Maestría","Manizales",1
"2011 - 2",31,"Maestría","Medellín",12
"2011 - 2",31,"Pregrado","Bogotá",30
"2011 - 2",31,"Pregrado","Manizales",4
"2011 - 2",31,"Pregrado","Medellín",5
"2011 - 2",31,"Pregrado","Palmira",3
"2011 - 2",32,"Doctorado","Bogotá",5
"2011 - 2",32,"Doctorado","Medellín",1
"2011 - 2",32,"Especialidades Médicas","Bogotá",1
"2011 - 2",32,"Especialización","Bogotá",15
"2011 - 2",32,"Especialización","Medellín",2
"2011 - 2",32,"Maestría","Bogotá",31
"2011 - 2",32,"Maestría","Manizales",6
"2011 - 2",32,"Maestría","Medellín",4
"2011 - 2",32,"Maestría","Palmira",1
"2011 - 2",32,"Pregrado","Bogotá",20
"2011 - 2",32,"Pregrado","Manizales",2
"2011 - 2",32,"Pregrado","Medellín",3
"2011 - 2",32,"Pregrado","Palmira",2
"2011 - 2",33,"Doctorado","Bogotá",5
"2011 - 2",33,"Doctorado","Medellín",1
"2011 - 2",33,"Especialización","Bogotá",6
"2011 - 2",33,"Especialización","Manizales",5
"2011 - 2",33,"Especialización","Medellín",1
"2011 - 2",33,"Maestría","Bogotá",33
"2011 - 2",33,"Maestría","Medellín",4
"2011 - 2",33,"Pregrado","Bogotá",12
"2011 - 2",33,"Pregrado","Medellín",2
"2011 - 2",33,"Pregrado","Palmira",1
"2011 - 2",34,"Doctorado","Bogotá",1
"2011 - 2",34,"Doctorado","Medellín",1
"2011 - 2",34,"Especialización","Bogotá",14
"2011 - 2",34,"Maestría","Bogotá",30
"2011 - 2",34,"Maestría","Medellín",4
"2011 - 2",34,"Maestría","Palmira",1
"2011 - 2",34,"Pregrado","Bogotá",14
"2011 - 2",34,"Pregrado","Manizales",1
"2011 - 2",34,"Pregrado","Medellín",1
"2011 - 2",34,"Pregrado","Palmira",1
"2011 - 2",35,"Doctorado","Bogotá",1
"2011 - 2",35,"Doctorado","Medellín",1
"2011 - 2",35,"Especialidades Médicas","Bogotá",1
"2011 - 2",35,"Especialización","Bogotá",16
"2011 - 2",35,"Especialización","Manizales",1
"2011 - 2",35,"Maestría","Bogotá",17
"2011 - 2",35,"Maestría","Medellín",2
"2011 - 2",35,"Pregrado","Bogotá",10
"2011 - 2",36,"Doctorado","Bogotá",1
"2011 - 2",36,"Especialización","Bogotá",7
"2011 - 2",36,"Especialización","Manizales",1
"2011 - 2",36,"Maestría","Amazonía",1
"2011 - 2",36,"Maestría","Bogotá",18
"2011 - 2",36,"Maestría","Manizales",2
"2011 - 2",36,"Maestría","Medellín",3
"2011 - 2",36,"Maestría","Palmira",2
"2011 - 2",36,"Pregrado","Bogotá",7
"2011 - 2",36,"Pregrado","Medellín",1
"2011 - 2",37,"Doctorado","Bogotá",1
"2011 - 2",37,"Especialización","Bogotá",9
"2011 - 2",37,"Especialización","Manizales",1
"2011 - 2",37,"Especialización","Medellín",1
"2011 - 2",37,"Maestría","Bogotá",10
"2011 - 2",37,"Maestría","Manizales",1
"2011 - 2",37,"Maestría","Medellín",3
"2011 - 2",37,"Pregrado","Bogotá",5
"2011 - 2",37,"Pregrado","Medellín",1
"2011 - 2",38,"Especialización","Amazonía",1
"2011 - 2",38,"Especialización","Bogotá",4
"2011 - 2",38,"Especialización","Manizales",2
"2011 - 2",38,"Maestría","Amazonía",1
"2011 - 2",38,"Maestría","Bogotá",10
"2011 - 2",38,"Maestría","Manizales",2
"2011 - 2",38,"Maestría","Medellín",2
"2011 - 2",38,"Maestría","Palmira",1
"2011 - 2",38,"Pregrado","Bogotá",7
"2011 - 2",39,"Doctorado","Bogotá",1
"2011 - 2",39,"Doctorado","Medellín",1
"2011 - 2",39,"Especialización","Bogotá",6
"2011 - 2",39,"Especialización","Manizales",1
"2011 - 2",39,"Maestría","Bogotá",9
"2011 - 2",39,"Maestría","Manizales",1
"2011 - 2",39,"Pregrado","Bogotá",3
"2011 - 2",40,"Especialización","Bogotá",6
"2011 - 2",40,"Maestría","Amazonía",1
"2011 - 2",40,"Maestría","Bogotá",9
"2011 - 2",40,"Maestría","Medellín",3
"2011 - 2",40,"Pregrado","Bogotá",3
"2011 - 2",41,"Doctorado","Bogotá",2
"2011 - 2",41,"Doctorado","Manizales",1
"2011 - 2",41,"Doctorado","Medellín",1
"2011 - 2",41,"Doctorado","Palmira",1
"2011 - 2",41,"Especialización","Bogotá",8
"2011 - 2",41,"Especialización","Manizales",1
"2011 - 2",41,"Maestría","Bogotá",9
"2011 - 2",41,"Maestría","Manizales",1
"2011 - 2",41,"Maestría","Medellín",2
"2011 - 2",41,"Pregrado","Bogotá",13
"2011 - 2",42,"Doctorado","Bogotá",2
"2011 - 2",42,"Especialización","Bogotá",4
"2011 - 2",42,"Especialización","Manizales",1
"2011 - 2",42,"Maestría","Bogotá",9
"2011 - 2",42,"Maestría","Manizales",2
"2011 - 2",42,"Maestría","Medellín",1
"2011 - 2",42,"Pregrado","Bogotá",1
"2011 - 2",42,"Pregrado","Manizales",1
"2011 - 2",43,"Especialización","Amazonía",1
"2011 - 2",43,"Especialización","Bogotá",8
"2011 - 2",43,"Especialización","Manizales",2
"2011 - 2",43,"Maestría","Bogotá",9
"2011 - 2",43,"Maestría","Medellín",1
"2011 - 2",43,"Maestría","Palmira",1
"2011 - 2",43,"Pregrado","Bogotá",2
"2011 - 2",43,"Pregrado","Medellín",1
"2011 - 2",43,"Pregrado","Palmira",1
"2011 - 2",44,"Doctorado","Palmira",1
"2011 - 2",44,"Especialización","Bogotá",5
"2011 - 2",44,"Especialización","Medellín",1
"2011 - 2",44,"Maestría","Bogotá",8
"2011 - 2",44,"Maestría","Medellín",1
"2011 - 2",44,"Pregrado","Bogotá",1
"2011 - 2",45,"Doctorado","Bogotá",1
"2011 - 2",45,"Especialización","Bogotá",1
"2011 - 2",45,"Especialización","Medellín",1
"2011 - 2",45,"Maestría","Bogotá",3
"2011 - 2",45,"Maestría","Manizales",1
"2011 - 2",45,"Maestría","Medellín",3
"2011 - 2",46,"Doctorado","Bogotá",1
"2011 - 2",46,"Especialización","Bogotá",2
"2011 - 2",46,"Maestría","Bogotá",5
"2011 - 2",46,"Maestría","Medellín",2
"2011 - 2",46,"Pregrado","Bogotá",1
"2011 - 2",46,"Pregrado","Manizales",1
"2011 - 2",47,"Doctorado","Bogotá",2
"2011 - 2",47,"Doctorado","Palmira",1
"2011 - 2",47,"Especialización","Bogotá",4
"2011 - 2",47,"Maestría","Bogotá",4
"2011 - 2",47,"Maestría","Manizales",1
"2011 - 2",47,"Maestría","Medellín",1
"2011 - 2",47,"Maestría","Palmira",1
"2011 - 2",48,"Doctorado","Bogotá",1
"2011 - 2",48,"Doctorado","Medellín",2
"2011 - 2",48,"Especialización","Bogotá",4
"2011 - 2",48,"Especialización","Manizales",1
"2011 - 2",48,"Maestría","Bogotá",7
"2011 - 2",48,"Maestría","Manizales",2
"2011 - 2",48,"Maestría","Medellín",1
"2011 - 2",48,"Pregrado","Bogotá",1
"2011 - 2",49,"Doctorado","Medellín",1
"2011 - 2",49,"Especialización","Bogotá",3
"2011 - 2",49,"Maestría","Bogotá",3
"2011 - 2",49,"Maestría","Palmira",1
"2011 - 2",49,"Pregrado","Bogotá",1
"2011 - 2",50,"Doctorado","Bogotá",1
"2011 - 2",50,"Especialización","Amazonía",1
"2011 - 2",50,"Especialización","Bogotá",1
"2011 - 2",50,"Especialización","Manizales",1
"2011 - 2",50,"Maestría","Bogotá",2
"2011 - 2",51,"Doctorado","Bogotá",3
"2011 - 2",51,"Doctorado","Medellín",1
"2011 - 2",51,"Especialización","Amazonía",1
"2011 - 2",51,"Especialización","Bogotá",3
"2011 - 2",51,"Maestría","Bogotá",3
"2011 - 2",51,"Pregrado","Manizales",1
"2011 - 2",52,"Doctorado","Bogotá",1
"2011 - 2",52,"Doctorado","Manizales",1
"2011 - 2",52,"Especialización","Bogotá",1
"2011 - 2",52,"Maestría","Bogotá",2
"2011 - 2",52,"Pregrado","Bogotá",1
"2011 - 2",53,"Especialización","Amazonía",1
"2011 - 2",53,"Maestría","Bogotá",3
"2011 - 2",54,"Especialización","Bogotá",1
"2011 - 2",54,"Maestría","Bogotá",4
"2011 - 2",54,"Maestría","Medellín",1
"2011 - 2",54,"Maestría","Palmira",1
"2011 - 2",55,"Maestría","Bogotá",1
"2011 - 2",55,"Maestría","Medellín",1
"2011 - 2",57,"Especialización","Bogotá",2
"2011 - 2",57,"Maestría","Bogotá",1
"2011 - 2",57,"Maestría","Palmira",1
"2011 - 2",58,"Especialización","Bogotá",1
"2011 - 2",58,"Maestría","Bogotá",1
"2011 - 2",59,"Especialización","Bogotá",1
"2011 - 2",59,"Maestría","Bogotá",1
"2011 - 2",60,"Especialización","Bogotá",1
"2011 - 2",60,"Maestría","Bogotá",1
"2011 - 2",60,"Pregrado","Bogotá",1
"2011 - 2",61,"Doctorado","Bogotá",1
"2011 - 2",61,"Maestría","Bogotá",2
"2011 - 2",61,"Pregrado","Medellín",1
"2011 - 2",62,"Especialización","Bogotá",1
"2012 - 1",20,"Maestría","Medellín",1
"2012 - 1",20,"Pregrado","Bogotá",1
"2012 - 1",20,"Pregrado","Medellín",1
"2012 - 1",21,"Pregrado","Bogotá",11
"2012 - 1",21,"Pregrado","Manizales",2
"2012 - 1",22,"Pregrado","Bogotá",96
"2012 - 1",22,"Pregrado","Manizales",44
"2012 - 1",22,"Pregrado","Medellín",39
"2012 - 1",22,"Pregrado","Palmira",2
"2012 - 1",23,"Especialización","Bogotá",4
"2012 - 1",23,"Especialización","Manizales",8
"2012 - 1",23,"Especialización","Medellín",1
"2012 - 1",23,"Pregrado","Bogotá",231
"2012 - 1",23,"Pregrado","Manizales",58
"2012 - 1",23,"Pregrado","Medellín",114
"2012 - 1",23,"Pregrado","Palmira",12
"2012 - 1",24,"Especialidades Médicas","Bogotá",1
"2012 - 1",24,"Especialización","Bogotá",11
"2012 - 1",24,"Especialización","Manizales",4
"2012 - 1",24,"Especialización","Medellín",15
"2012 - 1",24,"Maestría","Bogotá",3
"2012 - 1",24,"Maestría","Manizales",2
"2012 - 1",24,"Pregrado","Bogotá",263
"2012 - 1",24,"Pregrado","Manizales",46
"2012 - 1",24,"Pregrado","Medellín",144
"2012 - 1",24,"Pregrado","Palmira",21
"2012 - 1",25,"Especialización","Bogotá",23
"2012 - 1",25,"Especialización","Manizales",7
"2012 - 1",25,"Especialización","Medellín",6
"2012 - 1",25,"Maestría","Bogotá",10
"2012 - 1",25,"Maestría","Manizales",4
"2012 - 1",25,"Maestría","Medellín",1
"2012 - 1",25,"Maestría","Palmira",1
"2012 - 1",25,"Pregrado","Bogotá",167
"2012 - 1",25,"Pregrado","Manizales",29
"2012 - 1",25,"Pregrado","Medellín",96
"2012 - 1",25,"Pregrado","Palmira",15
"2012 - 1",26,"Especialidades Médicas","Bogotá",2
"2012 - 1",26,"Especialización","Bogotá",28
"2012 - 1",26,"Especialización","Manizales",11
"2012 - 1",26,"Especialización","Medellín",17
"2012 - 1",26,"Maestría","Bogotá",27
"2012 - 1",26,"Maestría","Manizales",3
"2012 - 1",26,"Maestría","Medellín",5
"2012 - 1",26,"Maestría","Palmira",2
"2012 - 1",26,"Pregrado","Bogotá",95
"2012 - 1",26,"Pregrado","Manizales",27
"2012 - 1",26,"Pregrado","Medellín",53
"2012 - 1",26,"Pregrado","Palmira",6
"2012 - 1",27,"Especialidades Médicas","Bogotá",7
"2012 - 1",27,"Especialización","Bogotá",21
"2012 - 1",27,"Especialización","Manizales",6
"2012 - 1",27,"Especialización","Medellín",11
"2012 - 1",27,"Maestría","Bogotá",23
"2012 - 1",27,"Maestría","Manizales",3
"2012 - 1",27,"Maestría","Medellín",2
"2012 - 1",27,"Pregrado","Bogotá",84
"2012 - 1",27,"Pregrado","Manizales",5
"2012 - 1",27,"Pregrado","Medellín",34
"2012 - 1",27,"Pregrado","Palmira",11
"2012 - 1",28,"Especialidades Médicas","Bogotá",10
"2012 - 1",28,"Especialización","Bogotá",24
"2012 - 1",28,"Especialización","Manizales",7
"2012 - 1",28,"Especialización","Medellín",17
"2012 - 1",28,"Maestría","Bogotá",23
"2012 - 1",28,"Maestría","Manizales",2
"2012 - 1",28,"Maestría","Medellín",10
"2012 - 1",28,"Pregrado","Bogotá",63
"2012 - 1",28,"Pregrado","Manizales",12
"2012 - 1",28,"Pregrado","Medellín",26
"2012 - 1",28,"Pregrado","Palmira",5
"2012 - 1",29,"Especialidades Médicas","Bogotá",15
"2012 - 1",29,"Especialización","Bogotá",29
"2012 - 1",29,"Especialización","Manizales",10
"2012 - 1",29,"Especialización","Medellín",12
"2012 - 1",29,"Maestría","Amazonía",1
"2012 - 1",29,"Maestría","Bogotá",21
"2012 - 1",29,"Maestría","Manizales",3
"2012 - 1",29,"Maestría","Medellín",4
"2012 - 1",29,"Pregrado","Bogotá",47
"2012 - 1",29,"Pregrado","Manizales",10
"2012 - 1",29,"Pregrado","Medellín",13
"2012 - 1",29,"Pregrado","Palmira",4
"2012 - 1",30,"Doctorado","Medellín",1
"2012 - 1",30,"Especialidades Médicas","Bogotá",10
"2012 - 1",30,"Especialización","Bogotá",26
"2012 - 1",30,"Especialización","Manizales",6
"2012 - 1",30,"Especialización","Medellín",10
"2012 - 1",30,"Maestría","Bogotá",24
"2012 - 1",30,"Maestría","Medellín",9
"2012 - 1",30,"Pregrado","Bogotá",29
"2012 - 1",30,"Pregrado","Manizales",5
"2012 - 1",30,"Pregrado","Medellín",8
"2012 - 1",30,"Pregrado","Palmira",1
"2012 - 1",31,"Doctorado","Bogotá",4
"2012 - 1",31,"Especialidades Médicas","Bogotá",13
"2012 - 1",31,"Especialización","Bogotá",28
"2012 - 1",31,"Especialización","Manizales",11
"2012 - 1",31,"Especialización","Medellín",14
"2012 - 1",31,"Maestría","Bogotá",19
"2012 - 1",31,"Maestría","Manizales",1
"2012 - 1",31,"Maestría","Medellín",7
"2012 - 1",31,"Maestría","Palmira",1
"2012 - 1",31,"Pregrado","Bogotá",23
"2012 - 1",31,"Pregrado","Manizales",2
"2012 - 1",31,"Pregrado","Medellín",10
"2012 - 1",31,"Pregrado","Palmira",2
"2012 - 1",32,"Doctorado","Medellín",1
"2012 - 1",32,"Especialidades Médicas","Bogotá",9
